"Year","Carbon.dioxide","Methane","Nitrous.oxide","HFCs..PFCs..SF6..and.NF3","mean.distance..miles.","lower.confidence..miles.","upper.confidence..miles.","Anomaly","Winter","Spring","Summer","Fall","Earth.s.surface","Lower.troposphere..measured.by.satellite...UAH.","Lower.troposphere..measured.by.satellite...RSS."
1990,5113.454675,776.8726947,452.6575241,99.66573255,15.00746059,0.045572739,29.96934843,2.23,1.41,1.12,0.52,1.87,1.49,"1.413190476","1.277415476"
1991,5057.93094,781.7794325,443.2294434,90.68131891,25.19039737,9.166270315,41.21452442,2.5,1.14,1.69,0.59,-0.52,1.14,"0.997690476","1.027365476"
1992,5167.480847,780.5191391,443.0661079,95.27774235,16.10374937,-0.242603812,32.45010255,1.32,4.12,1.88,-1.9,-0.46,0.58,"0.444190476","0.573615476"
1993,5267.34306,770.7101488,471.2931578,95.00352239,22.33606951,6.03789238,38.63424663,2.68,-1.11,-0.06,-0.98,-1.72,-0.76,"-0.209809524","-0.298934524"
1994,5358.824048,777.0320315,456.9905725,98.97617781,21.88841693,5.192377507,38.58445635,0.68,-0.43,1.69,0.86,0.56,0.85,"1.003690476","1.075515476"
1995,5421.502465,767.6972344,468.8077338,117.8528112,26.4797776,9.601565175,43.35799003,2.75,3.33,-0.46,0.4,0.18,0.63,"0.759190476","0.761115476"
1996,5610.581589,760.8084721,480.7696897,129.0056254,22.93807387,6.853785452,39.02236229,3.76,0.71,-0.7,0.58,-1.3,-0.14,"0.463690476","0.272865476"
1997,5686.464995,746.757333,466.8448935,136.4408181,25.78710131,8.380504162,43.19369846,1.92,1.07,-0.26,-0.32,0.19,0.18,"0.418690476","0.401565476"
1998,5731.049595,731.6675492,467.6968267,152.8552961,30.45617576,13.02925369,47.88309784,3.95,3.67,0.7,1.15,2.79,2.21,"1.656190476","1.906065476"
1999,5804.668919,713.3514431,457.4795692,149.8990973,36.24196053,18.43680035,54.04712071,-1.47,4.04,0.55,0.44,2.19,1.86,"1.756690476","1.891515476"
2000,6010.508353,707.563472,444.6504904,150.894177,31.26558945,13.60361143,48.92756747,-1.72,4.25,3,0.92,-0.65,1.25,"1.317190476","1.478865476"
2001,5904.881595,699.8203867,460.3639273,137.8906042,30.56212236,11.48328628,49.64095843,-0.92,-0.97,1.54,1.27,2.28,1.67,"1.215190476","1.538415476"
2002,5946.770566,692.8251892,458.8419463,145.864187,38.62891189,20.39774779,56.86007599,-0.89,3.43,-0.15,1.79,0,1.19,"0.957190476","1.136565476"
2003,6011.837495,692.7144406,459.7967826,137.0144618,39.84006999,20.15477348,59.52536651,0.57,1.33,1.14,1.33,1.07,1.24,"1.189690476","1.473315476"
2004,6114.00688,686.9920531,469.8864433,144.5857314,38.79027198,19.16518346,58.41536051,3.31,0.84,3.08,-1.02,1.45,1.08,"0.733690476","1.049115476"
2005,6134.521473,686.1127524,455.8398387,146.5569662,37.50088673,18.02380193,56.97797153,0.14,3.23,0.46,1.17,2.37,1.62,"1.266190476","1.581915476"
2006,6051.668046,690.803204,452.4777041,149.5138939,45.24713787,26.649291,63.84498473,-0.12,3.26,2.47,2.12,-0.23,2.23,"1.405690476","1.752015476"
2007,6131.004158,693.893135,463.5413426,161.1773889,41.42314978,21.59356068,61.25273889,-0.76,1.21,2.59,1.67,2.16,1.63,"1.728190476","1.869915476"
2008,5914.077766,700.8481199,446.9016411,162.8214532,40.2500239,20.53988808,59.96015973,1.3,0.5,-0.38,0.59,0.82,0.27,"0.432190476","0.484815476"
2009,5478.209686,689.6782403,445.5758541,158.5362912,39.77682647,19.1775246,60.37612834,2.36,1,0.89,-0.38,0.69,0.37,"0.487690476","0.588315476"
2010,5675.786435,692.1493948,454.9508454,168.2196672,39.83776387,18.3841119,61.29141583,1.43,-1.53,1.31,1.68,1.43,0.96,"0.889690476","1.002615476"
2011,5540.173478,666.1725292,445.5750965,175.4813164,39.98693033,18.36516992,61.60869073,0.16,-0.49,0.47,2.25,1.43,1.16,"0.976690476","1.105365476"
2012,5338.698344,658.1596916,416.764456,172.2852737,44.04976673,21.46076844,66.63876502,-2.41,4.11,5.26,2.3,1.19,3.26,"1.917190476","2.713365476"
2013,5474.25677,654.4062432,463.8587878,172.1473084,40.73000795,18.67379436,62.78622154,1.12,2.08,-0.44,1.13,0.45,0.41,"0.610690476","0.686715476"
2014,5522.807202,651.0272575,473.9887756,177.1334738,NA,NA,NA,0.91,-0.98,0.24,0.31,0.58,0.52,"0.721690476","0.772215476"
2015,5371.770557,651.5346554,468.2441148,179.5627378,NA,NA,NA,4.65,2.06,2.24,1.35,3.24,2.38,"2.191690476","2.556765476"
2016,5248.023931,642.389534,450.7922627,179.1321112,NA,NA,NA,1.48,4.55,2.75,2.1,4.05,2.9,"1.990690476","2.472315476"
2017,5207.751278,648.3823374,446.2714651,180.8862502,NA,NA,NA,2.37,3.67,2.59,1.29,2.11,2.53,"2.211190476","2.361615476"
2018,5375.490614,655.9362289,459.2117504,180.8108078,NA,NA,NA,4.71,1.76,1.51,2.1,0.2,1.5,"1.602190476","1.800165476"
2019,5255.816207,659.7127029,457.1415185,185.6747513,NA,NA,NA,4.88,1.07,-0.05,0.96,0.31,0.66,"1.087690476","1.192665476"
