"","location","year","tmax_avg_0","tmax_avg_1","tmax_avg_2","tmax_avg_3","tmax_avg_4","tmin_avg_0","tmin_avg_1","tmin_avg_2","tmin_avg_3","tmin_avg_4","prcp_avg_0","prcp_avg_1","prcp_avg_2","prcp_avg_3","prcp_avg_4","prcp_tot_0","prcp_tot_1","prcp_tot_2","prcp_tot_3","prcp_tot_4","snwd_avg_0","snwd_avg_1","snwd_avg_2","snwd_avg_3","snwd_avg_4","snwd_tot_0","snwd_tot_1","snwd_tot_2","snwd_tot_3","snwd_tot_4","sunlight_avg_1","sunlight_avg_2","sunlight_avg_3","sunlight_avg_4","sunlight_avg_0","lat","long","alt","bloom_date","bloom_doy"
"1","washingtondc",1949,94.8064516129032,118.193548387097,128.607142857143,151.516129032258,201.8,-6.87096774193548,10.1935483870968,9.89285714285714,25.0645161290323,59.2333333333333,43.9032258064516,42.6451612903226,29.3928571428571,24.6774193548387,22.0333333333333,1361,1322,823,765,661,2.45161290322581,0,51,0,0,76,0,51,0,0,NA,NA,NA,NA,NA,38.8853496,-77.0386278,0,"1949-03-29",88
"2","washingtondc",1950,107.903225806452,152.354838709677,86.6785714285714,130.3,193.833333333333,3.06896551724138,29.1666666666667,-6.89285714285714,-1.92,37.7692307692308,14.5483870967742,17.0322580645161,24.0714285714286,31.8064516129032,14.9666666666667,451,528,674,986,449,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,38.8853496,-77.0386278,0,"1950-04-09",99
"3","washingtondc",1951,65.6428571428571,97.258064516129,97.8888888888889,145.5,202.266666666667,-33.8571428571429,-14.0322580645161,-25.1481481481481,13.4444444444444,54.4666666666667,25.8064516129032,19.8387096774194,24.3214285714286,24.5806451612903,30.2666666666667,800,615,681,762,908,25,NA,NA,NA,0,25,0,0,0,0,NA,NA,NA,NA,NA,38.8853496,-77.0386278,0,"1951-04-06",96
"4","washingtondc",1952,109.466666666667,97.1612903225806,101.137931034483,129.935483870968,207.633333333333,-0.166666666666667,0.741935483870968,0.379310344827586,20.7096774193548,85.9333333333333,27.9354838709677,39.0322580645161,17.6896551724138,37.4444444444444,24.5217391304348,866,1210,513,1011,564,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,38.8853496,-77.0386278,0,"1952-04-09",100
"5","washingtondc",1953,79.258064516129,101.566666666667,118.25,NA,NA,2.80645161290323,7.16129032258065,6.21428571428571,NA,NA,20.037037037037,38.6129032258064,21.6785714285714,NA,NA,541,1197,607,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,38.8853496,-77.0386278,0,"1953-03-27",86
"6","washingtondc",1954,115.111111111111,84.3636363636364,133.75,134.290322580645,229.666666666667,6.5,-30.8181818181818,7.10714285714286,20.5806451612903,92.9666666666667,4.34615384615385,14,8.17857142857143,31.4193548387097,31.0333333333333,113,350,229,974,931,0,9.88888888888889,0,0,0,0,178,0,0,0,NA,NA,NA,NA,NA,38.8853496,-77.0386278,0,"1954-04-06",96
"7","washingtondc",1955,73.1538461538462,63.7741935483871,94.5714285714286,159.483870967742,218.5,-11.2307692307692,-27.8064516129032,-23.4285714285714,33.9677419354839,91.2333333333333,25.0322580645161,2.7741935483871,23.7692307692308,31.4516129032258,22.6666666666667,776,86,618,975,680,0,0,4.66666666666667,0,0,0,0,126,0,0,NA,NA,NA,NA,NA,38.8853496,-77.0386278,0,"1955-04-02",92
"8","washingtondc",1956,61.3870967741936,59.4333333333333,109.758620689655,124.935483870968,188.551724137931,-33.0967741935484,-26.7,0.724137931034483,10.5806451612903,58.2068965517241,2.03225806451613,18.2758620689655,27.2758620689655,32.8275862068966,19.4,63,530,791,952,582,0,3.4,0,5.27586206896552,0,0,102,0,153,0,NA,NA,NA,NA,NA,38.8853496,-77.0386278,0,"1956-04-06",97
"9","washingtondc",1957,127.322580645161,51.0967741935484,100.785714285714,132.967741935484,227.4,29.0645161290323,-37.2258064516129,6.92857142857143,21.6451612903226,87.8666666666667,27.5161290322581,24.1290322580645,25.5714285714286,14.4838709677419,23.4666666666667,853,748,716,449,704,0,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,38.8853496,-77.0386278,0,"1957-04-08",98
"10","washingtondc",1958,104.709677419355,57.741935483871,39.6428571428571,97.7096774193548,198.1,0,-35.8709677419355,-54.5714285714286,4.7741935483871,71.5666666666667,26.1111111111111,25.2258064516129,28.4230769230769,62.2258064516129,41.3333333333333,705,782,739,1929,1240,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,38.8853496,-77.0386278,0,"1958-04-18",108
"11","washingtondc",1959,55.0322580645161,75.4666666666667,101.035714285714,151.064516129032,219.3,-49.8064516129032,-40.3548387096774,-27.7857142857143,7.51612903225806,85.0333333333333,13.4193548387097,18.3448275862069,16.5714285714286,20.5483870967742,43.5,416,532,464,637,1305,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,38.8853496,-77.0386278,0,"1959-04-06",96
"12","washingtondc",1960,109.161290322581,75.9032258064516,80.3448275862069,69.258064516129,239.466666666667,4.32258064516129,-7.32258064516129,-7.44827586206897,-32.4838709677419,88.1666666666667,28.7096774193548,24,32.2413793103448,15.9655172413793,27.8666666666667,890,744,935,463,836,0,NA,NA,67.6666666666667,0,0,0,0,203,0,NA,NA,NA,NA,NA,38.8853496,-77.0386278,0,"1960-04-14",105
"13","washingtondc",1961,58.741935483871,38.9677419354839,91.5714285714286,149.225806451613,170.366666666667,-64.0322580645161,-65.0322580645161,-12.1071428571429,25.4838709677419,50.2333333333333,10.9655172413793,21.448275862069,29.875,32.4838709677419,36.2333333333333,318,622,717,1007,1087,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,38.8853496,-77.0386278,0,"1961-04-02",92
"14","washingtondc",1962,71.5161290322581,69.1290322580645,64.1785714285714,124.709677419355,200.066666666667,-14.5806451612903,-29.3225806451613,-27.4285714285714,11.3870967741935,78.5,17.1034482758621,10.3333333333333,34.9642857142857,39.0967741935484,29.8333333333333,496,310,979,1212,895,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,38.8853496,-77.0386278,0,"1962-04-07",97
"15","washingtondc",1963,53.6451612903226,56.6129032258064,58.6785714285714,164.838709677419,211.4,-44.9032258064516,-46.4838709677419,-58.7857142857143,28.741935483871,66.6,27.9354838709677,11.741935483871,21.6428571428571,47.6451612903226,11.2666666666667,866,364,606,1477,338,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,38.8853496,-77.0386278,0,"1963-04-03",93
"16","washingtondc",1964,42.6774193548387,86.4838709677419,76.2068965517241,153.41935483871,184.6,-46.741935483871,-31.6774193548387,-23.6206896551724,26.0322580645161,60.3333333333333,18.5483870967742,37.5161290322581,33.1481481481481,21,40.3333333333333,575,1163,895,651,1210,NA,8.80769230769231,3.04,0,0,0,229,76,0,0,NA,NA,NA,NA,NA,38.8853496,-77.0386278,0,"1964-04-11",102
